source MigLOC,target MigLOC,total MigLOC,mig,source NumAPIs,target NumAPIs,total NumAPIs,total NumChanges,source UniqueAPIs,target UniqueAPIs,total UniqueAPIs,total UniqueMappings
8,1,9,argparse__docopt__tankerhq/tbump__54b12e29,4,1,5,1,3,1,4,1
6,3,9,asyncio-redis__aioredis__augerai/a2ml__13ea499e,3,1,4,3,3,1,4,3
2,1,3,asyncio-redis__aioredis__eyepea/api-hour__97286ef3,2,1,3,1,2,1,3,1
187,62,249,attrs__dataclasses__aiortc/aiortc__270edaf4,187,62,249,187,2,2,4,4
29,29,58,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,29,29,58,29,2,2,4,2
20,20,40,attrs__dataclasses__project-alice-assistant/projectalice__f1fe8cb8,20,20,40,20,3,2,5,3
53,24,77,attrs__dataclasses__simonlindholm/decomp-permuter__cfbb7064,53,24,77,53,2,2,4,3
2,1,3,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd,2,1,3,1,2,1,3,1
1,1,2,beautifulsoup__bs4__cfpb/cfgov-refresh__32626101,1,1,2,1,1,1,2,1
1,3,4,botocore__boto__whoopinc/mkwheelhouse__54806ffc,2,2,4,1,2,2,4,1
1,1,2,botocore__boto__zalando/spilo__a83681c7,1,1,2,1,1,1,2,1
5,5,10,bottle__flask__cqmoe/python-cqhttp__f9f083ec,5,5,10,5,4,4,8,4
3,5,8,bottle__flask__heyman/locust__4067b929,3,4,7,3,3,4,7,3
5,5,10,bottle__flask__nicolas-van/pygreen__843c8cfe,5,5,10,5,4,4,8,4
12,12,24,bunch__munch__fedora-infra/python-fedora__aca2a20a,12,12,24,12,2,2,4,2
195,223,418,characteristic__attrs__rackerlabs/mimic__5bb49466,108,253,361,218,2,4,6,8
1,1,2,chardet__cchardet__emlid/ntripbrowser__9161c194,1,1,2,1,1,1,2,1
15,10,25,cheetah3__jinja2__openstack/ironic__cbf214b5,2,8,10,2,1,4,5,1
1,6,7,cheetah3__jinja2__shingetsu/saku__d1ad50a9,1,3,4,1,1,3,4,1
1,1,2,cheetah__jinja2__shingetsu/saku__d1ad50a9,1,1,2,1,1,1,2,1
7,9,16,click__argparse__kittenparry/meituri-downloader__422d73be,3,5,8,6,2,4,6,5
11,18,29,click__argparse__nodepy/nodepy__715142ce,7,12,19,13,3,5,8,7
15,11,26,click__argparse__titusz/onixcheck__f17d1861,15,7,22,17,6,3,9,8
1,1,2,cloud-sptheme__sphinx-rtd-theme__danielyule/hearthbreaker__d018edff,1,1,2,1,1,1,2,1
2,2,4,configparser__configobj__ctlearn-project/ctlearn__2375af87,2,2,4,1,2,1,3,1
3,3,6,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a,3,3,6,3,3,3,6,3
1,1,2,csv__unicodecsv__codesy/codesy__b5824f4f,1,1,2,1,1,1,2,1
4,4,8,csv__unicodecsv__mlsecproject/combine__efe20ac0,4,4,8,4,1,1,2,1
1,1,2,csv__unicodecsv__praekelt/molo__567b66f9,1,1,2,1,1,1,2,1
2,2,4,csv__unicodecsv__radremedy/radremedy__8fa9b7fd,2,2,4,2,2,2,4,2
1,1,2,csv__unicodecsv__shoopio/shoop__639e3b5f,1,1,2,1,1,1,2,1
4,4,8,dataproperty__typepy__thombashi/datetimerange__936761f7,2,4,6,2,1,2,3,1
14,14,28,dataproperty__typepy__thombashi/pingparsing__45fac3cb,14,14,28,14,5,5,10,5
4,4,8,dataproperty__typepy__thombashi/sqlitebiter__26c8e746,4,4,8,4,2,2,4,2
3,2,5,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56,3,2,5,2,3,2,5,2
1,11,12,docopt__argparse__aio-libs/aioftp__ba6ef08f,1,3,4,1,1,3,4,1
9,169,178,docopt__argparse__mete0r/pyhwp__0c5c5e78,5,17,22,5,1,4,5,2
1,13,14,docopt__click__michaeljoseph/changes__d9a8faec,1,7,8,4,1,7,8,4
6,7,13,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,6,6,12,6,3,3,6,3
4,4,8,enum__aenum__princetonuniversity/psyneulink__5253a55c,4,4,8,4,1,1,2,1
5,5,10,eventlet__gevent__c00w/bithopper__66125263,5,5,10,5,3,3,6,3
19,20,39,eventlet__gevent__noisyboiler/wampy__f87f7bee,19,19,38,19,6,7,13,7
1,1,2,eventlet__gevent__phuks-co/throat__9a289609,1,1,2,1,1,1,2,1
1,1,2,eventlet__gevent__stefal/rtkbase__a4c347a2,1,1,2,1,1,1,2,1
25,27,52,fabric3__invoke__skoczen/will__437f8be3,25,27,52,27,3,3,6,4
28,50,78,fabric3__paramiko__mirantis/openstack-lbaas__d7440d46,22,36,58,23,5,6,11,8
2,1,3,flask-restful__flask-restplus__testdrivenio/flask-react-aws__d4119a0f,1,1,2,1,1,1,2,1
15,12,27,flask__bottle__arosenfeld/immunedb__6141b13b,13,12,25,13,2,1,3,2
1,1,2,flask__fastapi__virtuber/openvtuber__3abbc431,1,1,2,1,1,1,2,1
4,4,8,flask__quart__elblogbruno/notionai-mymind__002f5bde,4,4,8,4,4,4,8,4
8,8,16,flask__quart__intel/stacks-usecase__22cc3f00,8,8,16,8,5,5,10,5
1,1,2,flask__quart__learningorchestra/learningorchestra__db7f1321,1,1,2,1,1,1,2,1
2,2,4,flask__quart__pgjones/faster_than_flask_article__0a70f2bd,2,2,4,2,2,2,4,2
12,12,24,flask__quart__synesthesiam/voice2json__7ea7ddb8,12,12,24,12,5,5,10,5
8,8,16,flask__quart__talkpython/async-techniques-python-course__aa607bd3,8,8,16,8,4,4,8,4
1,1,2,flask__uvicorn__virtuber/openvtuber__3abbc431,1,1,2,1,1,1,2,1
5,4,9,gcloud-aio-core__aiohttp__talkiq/gcloud-aio__45d94dda,1,3,4,1,1,3,4,1
1,4,5,gcloud-aio-core__aiohttp__talkiq/gcloud-aio__963f3470,1,3,4,1,1,3,4,1
1,1,2,gcloud__google__wal-e/wal-e__be9820b9,1,1,2,1,1,1,2,1
3,2,5,gevent__eventlet__duanhongyi/dwebsocket__d707ff65,3,3,6,2,3,3,6,2
1,1,2,gevent__eventlet__miguelgrinberg/flask-socketio__883e73e5,1,1,2,1,1,1,2,1
9,4,13,gevent__eventlet__projectcalico/felix__657e7274,9,4,13,9,5,2,7,5
1,1,2,gevent__eventlet__stefal/rtkbase__cf856c0c,1,1,2,1,1,1,2,1
1,1,2,gevent__eventlet__thenetcircle/dino__119d922a,1,1,2,1,1,1,2,1
1,1,2,guzzle-sphinx-theme__sphinx-rtd-theme__jamesls/semidbm__aa0babac,1,1,2,1,1,1,2,1
3,1,4,html5lib__bleach__pycon/pycon__3dba9637,5,1,6,1,5,1,6,1
14,6,20,httplib2__requests__ankitects/anki__f6245cdf,10,6,16,16,10,5,15,15
17,7,24,httplib2__requests__cpfair/tapiriik__495db93a,13,7,20,7,3,2,5,2
12,6,18,httplib2__requests__hasgeek/flask-lastuser__6114ad5c,2,2,4,2,2,2,4,2
1,1,2,httplib2__requests__hpe-storage/python-3parclient__75b94d3e,1,1,2,1,1,1,2,1
2,2,4,httplib2__requests__jarodl/flask-github__341c769f,2,2,4,2,2,2,4,2
3,6,9,httplib2__requests__openshot/openshot-qt__4349753e,6,9,15,3,2,4,6,2
4,4,8,httplib2__requests__openstack/deb-nova__346d9419,6,4,10,4,3,2,5,2
7,7,14,httplib2__requests__openstack/networking-cisco__075010a6,4,3,7,3,3,2,5,2
4,4,8,httplib2__requests__wikimedia/pywikibot__952665ac,4,4,8,4,1,1,2,1
1,1,2,huey__celery__lonelam/onlinejudgeshu__b687d206,1,1,2,1,1,1,2,1
1,1,2,ipaddress__netaddr__napalm-automation/napalm__085994a5,1,1,2,1,1,1,2,1
17,23,40,ipaddr__ipaddress__google/capirca__eb768ea7,17,17,34,17,8,8,16,8
68,69,137,ipaddr__ipaddress__reannz/faucet__4a23ef8e,67,70,137,70,8,8,16,13
2,2,4,ipaddr__ipaddress__rvojcik/rtapi__2c25c053,2,2,4,2,1,1,2,1
4,4,8,ipaddr__netaddr__openstack/deb-designate__eb16b1e1,4,4,8,4,2,2,4,2
6,7,13,ipaddr__netaddr__openstack/fuel-devops__5d0df078,5,6,11,6,1,2,3,2
4,4,8,ipaddr__netaddr__openstack/wsme__002473c0,4,4,8,4,3,2,5,3
8,2,10,ipaddr__py2-ipaddress__evgeni/bley__dcc42853,8,2,10,8,3,1,4,3
7,7,14,ipaddr__py2-ipaddress__jdswinbank/comet__1549e864,5,5,10,5,2,2,4,2
1,1,2,ipaddr__py2-ipaddress__magic-wormhole/magic-wormhole__5b23669c,1,1,2,1,1,1,2,1
1,1,2,ipaddr__py2-ipaddress__meejah/txtorcon__c8fdba0a,1,1,2,1,1,1,2,1
2,2,4,ipaddr__py2-ipaddress__redhat-cip/hardware__a429c38c,2,2,4,2,2,2,4,2
2,2,4,ipaddr__py2-ipaddress__rvojcik/rtapi__2c25c053,1,1,2,1,1,1,2,1
2,2,4,ipaddr__py2-ipaddress__stackstorm/st2__4022aea9,1,1,2,1,1,1,2,1
2,2,4,jsonpath-rw__jsonpath-rw-ext__hxlstandard/libhxl-python__0babff28,2,2,4,2,1,1,2,1
6,4,10,kafka-python__confluent-kafka__biznetgio/restknot__6b103453,3,4,7,3,3,4,7,3
23,3,26,kafka-python__confluent-kafka__openstack/oslo.messaging__5a842ae1,2,3,5,2,2,3,5,2
2,2,4,kafka__confluent-kafka__svenskaspel/locust-plugins__fad53da5,4,2,6,2,3,2,5,2
4,4,8,leveldb__plyvel__ethereum/py-evm__5c273fff,4,4,8,4,4,4,8,4
3,3,6,leveldb__plyvel__gdassori/spruned__4326c648,3,3,6,3,2,2,4,2
2,2,4,leveldb__plyvel__obsidianforensics/hindsight__973b3d32,2,2,4,2,2,2,4,2
10,10,20,lockfile__fasteners__kizniche/mycodo__547f6d9f,10,10,20,10,2,2,4,2
3,1,4,lockfile__fasteners__paratoolsinc/taucmdr__2a2c28ae,3,1,4,4,3,1,4,4
1,1,2,logbook__loguru__thombashi/sqlitebiter__311c7ce5,1,1,2,1,1,1,2,1
1,1,2,logbook__loguru__thombashi/tcconfig__7ba8676b,1,1,2,1,1,1,2,1
17,12,29,logger__logging__prtg/pythonminiprobe__2b6a1aeb,11,6,17,11,2,1,3,2
0,3,3,lxml__defusedxml__haiwen/seafdav__5e1291f1,0,3,3,3,0,3,3,3
4,3,7,lxml__defusedxml__synacktiv/eos__ac9596f9,4,3,7,3,3,2,5,2
4,4,8,m2crypto__cryptography__kevoreilly/capev2__abf58a7d,4,4,8,4,4,4,8,4
6,6,12,m2crypto__cryptography__yubico/python-u2flib-server__65c46657,6,8,14,6,5,6,11,5
7,2,9,mechanize__requests__jorgecarleitao/public-contracts__70a229cb,5,2,7,5,5,2,7,5
11,3,14,msgpack__u-msgpack-python__crossbario/autobahn-python__9e00896d,3,3,6,3,2,2,4,2
3,4,7,msgpack__u-msgpack-python__kushalp/serfclient-py__3adbf0f1,3,4,7,4,2,3,5,3
2,2,4,multiprocessing__multiprocess__czheo/syntax_sugar_python__1dbc1d44,2,2,4,2,2,2,4,2
3,1,4,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,3,1,4,3,3,1,4,3
1,1,2,multiprocess__multiprocessing__intelpni/brainiak__e62dc1d0,1,1,2,1,1,1,2,1
12,11,23,netaddr__ipaddress__ovirt/vdsm__6eef802a,13,13,26,12,4,4,8,6
15,11,26,netaddr__py2-ipaddress__jimfunk/django-postgresql-netfields__a5a11184,16,12,28,15,4,6,10,8
2,6,8,netaddr__py2-ipaddress__nitmir/policyd-rate-limit__c024e06a,2,6,8,4,2,5,7,3
1,1,2,neutron__neutron-lib__openstack/networking-generic-switch__c6f4b71b,1,1,2,1,1,1,2,1
8,8,16,node-semver__semantic-version__openstack/solar__8766f11d,7,7,14,7,3,3,6,3
4,2,6,oauth2__oauthlib__discogs/discogs_client__c56f61aa,4,2,6,2,4,2,6,2
1,1,2,openpyxl__xlsxwriter__bcgov/gwells__57d12c42,1,1,2,1,1,1,2,1
12,11,23,paramiko__fabric__aws/aws-parallelcluster__d49460ac,11,6,17,7,10,5,15,6
2,2,4,pep8__pycodestyle__cyberbotics/urdf2webots__723168db,2,2,4,2,2,2,4,2
9,11,20,pep8__pycodestyle__fabioz/PyDev.Debugger__d535c190,9,11,20,11,6,8,14,8
11,11,22,pep8__pycodestyle__hhatto/autopep8__3e1c1965,10,10,20,10,7,7,14,7
1,1,2,pep8__pycodestyle__nchammas/flintrock__7323298d,1,1,2,1,1,1,2,1
1,1,2,pep8__pycodestyle__openstack/designate__2c9e9f5f,1,1,2,1,1,1,2,1
1,1,2,pep8__pycodestyle__openstack/sahara__61b0b2e0,1,1,2,1,1,1,2,1
1,1,2,pep8__pycodestyle__schlamar/flake8-todo__fcd59c6c,1,1,2,1,1,1,2,1
6,4,10,prettytable__tabulate__educationaltestingservice/skll__f870a659,4,1,5,1,4,1,5,1
5,11,16,progressbar__tqdm__ozencb/yts-scraper__383401ae,7,4,11,7,7,3,10,7
2,1,3,progressbar__tqdm__redkyn/assigner__f132d03c,2,1,3,2,2,1,3,2
4,5,9,progressbar__tqdm__rivuletstudio/rivuletpy__52068adb,4,5,9,5,2,3,5,3
2,2,4,py-bcrypt__bcrypt__weasyl/weasyl__f6230c73,2,2,4,2,1,1,2,1
5,1,6,pyandoc__pypandoc__hustlzp/permission__d174a217,4,1,5,1,4,1,5,1
3,3,6,pycryptodome__cryptography__allencellmodeling/cookiecutter-pypackage__8d172cbc,3,4,7,2,3,4,7,2
4,11,15,pycryptodome__cryptography__apache/libcloud__a68022d1,5,6,11,2,5,5,10,2
3,11,14,pycryptodome__cryptography__cloudve/cloudbridge__27b217e0,4,4,8,3,3,4,7,3
4,5,9,pycryptodome__cryptography__coresecurity/pysap__21fe13a0,4,6,10,4,3,4,7,3
4,6,10,pycryptodome__cryptography__jvanovost/dc09_spt__08a9d0b8,4,8,12,4,3,5,8,3
0,7,7,pycryptodome__cryptography__leifj/pyxmlsecurity__b5d88c80,0,6,6,6,0,6,6,6
5,9,14,pycryptodome__cryptography__mitya57/secretstorage__e637c3b3,5,11,16,6,4,7,11,6
4,5,9,pycryptodome__cryptography__ojarva/python-sshpubkeys__e3ee2d26,4,7,11,4,2,5,7,3
6,7,13,pycryptodome__cryptography__openstack/glance__5ebde907,6,8,14,6,5,5,10,5
6,8,14,pycryptodome__cryptography__openstack/keystonemiddleware__e23cb36a,5,9,14,5,4,6,10,4
9,20,29,pycryptodome__cryptography__privacyidea/privacyidea__bcd8a454,9,23,32,10,4,8,12,7
2,4,6,pycryptodome__cryptography__rev112/pyope__48c294a3,2,4,6,2,2,4,6,2
18,25,43,pycryptodome__cryptography__secdev/scapy__c24298b9,16,19,35,13,11,12,23,11
8,19,27,pycryptodome__cryptography__spockbotmc/spockbot__4442170e,7,10,17,9,4,7,11,8
5,6,11,pycryptodome__cryptography__tgalal/python-axolotl__f74a9367,5,8,13,5,3,5,8,4
20,41,61,pycryptodome__cryptography__twisted/twisted__e31995c9,20,28,48,23,8,16,24,15
21,21,42,pycryptodome__pycryptodomex__malwaredllc/byob__9291b54e,21,21,42,21,9,9,18,9
4,4,8,pycrypto__pycryptodome__camptocamp/c2cgeoportal__14388c3d,4,4,8,4,3,3,6,3
1,1,2,pycrypto__pycryptodome__hhyo/archery__e192ca69,1,1,2,1,1,1,2,1
12,5,17,pycurl__requests__tasmota/decode-config__5be61417,5,2,7,2,5,2,7,2
2,0,2,pycurl__requests__upstox/upstox-python__dce87602,2,0,2,2,1,0,1,1
1,0,1,pydotplus__pydot__mathics/mathics__915daeb9,1,0,1,1,1,0,1,1
7,7,14,pyfits__astropy__glue-viz/glue__5b2d7f92,7,7,14,7,5,5,10,5
1,1,2,pymilvus-orm__pymilvus__milvus-io/bootcamp__89c7afc6,1,1,2,1,1,1,2,1
8,22,30,pyopenssl__cryptography__celery/celery__9b39fc41,9,9,18,9,9,9,18,9
2,2,4,pyopenssl__cryptography__openstack/neutron-lbaas__bb34d71c,1,1,2,1,1,1,2,1
11,8,19,pyopenssl__cryptography__RIPE-NCC/ripe-atlas-sagan__f6fc10c8,10,11,21,8,7,9,16,8
1,1,2,pypcap__pcapy__openstack/steth__a981d2ef,1,1,2,1,1,1,2,1
4,4,8,pyqt5__pyside2__catalystneuro/nwb-conversion-tools__a2ef3358,4,4,8,4,3,3,6,3
372,386,758,pyqt5__pyside2__sanpen/gridcal__39a5dd91,348,346,694,349,9,8,17,10
71,71,142,pyqt5__pyside6__toufool/auto-split__86244b6c,71,73,144,71,21,22,43,22
3,3,6,pyquery__beautifulsoup4__idan/telostats__f73354ab,3,3,6,3,2,2,4,2
3,2,5,python-ldap__ldap3__ictu/quality-time__cc47b42c,2,2,4,2,2,2,4,2
1,4,5,python3-memcached__pymemcache__flan/staticdhcpd__0e648193,1,1,2,1,1,1,2,1
1,1,2,pytorch-pretrained-bert__pytorch-transformers__haoxizhong/pytorch-worker__fa8de771,1,1,2,1,1,1,2,1
3,2,5,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,3,2,5,3,2,1,3,2
2,2,4,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,2,2,4,2,1,1,2,1
1,1,2,pytorch-transformers__transformers__huggingface/transfer-learning-conv-ai__16074b20,1,1,2,1,1,1,2,1
3,11,14,pytorch-transformers__transformers__intellabs/nlp-architect__9f067f27,3,11,14,11,3,10,13,10
2,6,8,pyuserinput__pynput__activitywatch/aw-watcher-afk__297b58cb,2,4,6,2,1,2,3,1
2,6,8,raven__sentry-sdk__agdsn/sipa__ea23791c,2,2,4,1,2,2,4,1
4,2,6,raven__sentry-sdk__city-of-helsinki/respa__4fecb977,4,2,6,2,2,1,3,1
4,16,20,raven__sentry-sdk__etalab/udata__9bc0f731,4,4,8,2,4,4,8,2
1,4,5,raven__sentry-sdk__habitissimo/myaas__0a65bcc2,1,2,3,1,1,2,3,1
3,4,7,raven__sentry-sdk__kiwicom/the-zoo__e22070c0,3,4,7,3,2,3,5,3
4,3,7,raven__sentry-sdk__mozilla/addons-server__634c64f7,4,3,7,1,3,3,6,1
5,7,12,raven__sentry-sdk__onecodex/onecodex__120d9613,5,7,12,5,4,5,9,4
5,1,6,raven__sentry-sdk__pokainc/cfn-cross-region-export__f1120d34,2,2,4,1,2,2,4,1
6,6,12,raven__sentry-sdk__samuelcolvin/aiohttp-toolbox__3b7a2a33,1,1,2,1,1,1,2,1
5,4,9,raven__sentry-sdk__teamsempo/sempoblockchain__449990a2,5,4,9,5,4,2,6,4
9,9,18,raven__sentry-sdk__thespaghettidetective/thespaghettidetective__b86b3759,9,9,18,9,1,1,2,1
1,1,2,raven__sentry-sdk__weasyl/weasyl__d10cb162,1,1,2,1,1,1,2,1
6,6,12,redis__aioredis__walletconnect/py-walletconnect-bridge__c2d3db2a,6,6,12,6,4,4,8,4
1,1,2,requests-oauth2__oauthlib__mozilla/addons-server__5fd17b43,1,1,2,1,1,1,2,1
3,3,6,requests-oauth2__requests-oauthlib__gunthercox/chatterbot__6c3b234d,3,3,6,6,3,1,4,4
3,1,4,requests-oauth2__requests-oauthlib__sarumont/py-trello__ede0ceb1,3,1,4,4,3,1,4,4
3,2,5,requests-oauth2__requests__sybrenstuvel/flickrapi__c4f8d794,3,2,5,3,3,2,5,3
3,3,6,requests__aiohttp__aiortc/aiortc__d30c2400,3,3,6,1,3,3,6,1
10,10,20,requests__aiohttp__ictu/quality-time__d3a9a16a,10,10,20,10,5,5,10,5
4,5,9,requests__aiohttp__keselekpermen69/userbutt__a2dd44e1,4,5,9,4,4,5,9,4
5,6,11,requests__aiohttp__paradoxalarminterface/pai__fac6f807,3,4,7,3,3,4,7,3
4,6,10,requests__aiohttp__raptor123471/dingolingo__1d8923ab,4,6,10,4,2,3,5,2
6,9,15,requests__aiohttp__talkpython/async-techniques-python-course__a5c04bbd,6,9,15,6,2,3,5,2
2,3,5,requests__aiohttp__talkpython/async-techniques-python-course__ab4e5fdd,2,3,5,2,2,3,5,2
2,3,5,requests__aiohttp__usergeteam/userge-plugins__80a54344,2,3,5,2,2,3,5,2
7,10,17,restkit__requests__sporteasy/python-poeditor__57108590,7,6,13,6,6,5,11,5
7,7,14,retrying__tenacity__intelai/inference-model-manager__71aff3a0,7,7,14,7,1,1,2,1
9,15,24,retrying__tenacity__openstack/aodh__7587ab9b,3,3,6,3,1,1,2,1
13,21,34,retrying__tenacity__openstack/ceilometer__380bb26d,4,4,8,4,1,1,2,1
3,5,8,retrying__tenacity__openstack/ironic-inspector__f4648fac,1,1,2,1,1,1,2,1
73,91,164,retrying__tenacity__openstack/ironic__b0607a26,16,16,32,16,1,1,2,1
3,2,5,rpi.gpio__gpiozero__raspberrypilearning/push-button-stop-motion__0b6cdadb,3,2,5,2,3,2,5,2
8,8,16,ruamel.yaml__pyyaml__microsoft/nni__b955ac99,9,8,17,8,3,2,5,3
17,17,34,simplejson__ujson__zulip/zulip__222ef672,17,17,34,17,3,3,6,3
5,5,10,slackclient__slack-sdk__slackapi/python-slack-sdk__5f4d92a8,5,5,10,5,2,2,4,2
3,3,6,slackclient__slack-sdk__zulip/python-zulip-api__2d9cf64d,3,3,6,3,3,3,6,3
1,1,2,smbus-cffi__smbus2__pimoroni/inky__cba36514,1,1,2,1,1,1,2,1
1,1,2,sphinx-rtd-theme__edx-sphinx-theme__edx/ecommerce__c1e120fb,1,1,2,1,1,1,2,1
1,1,2,sphinx-rtd-theme__guzzle-sphinx-theme__bashtage/arch__36207003,1,1,2,1,1,1,2,1
1,1,2,suds-py3__zeep__whynothugo/django-afip__827dd9f0,1,1,2,1,1,1,2,1
6,5,11,suds__zeep__hbldh/pybankid__79e424ce,5,5,10,5,3,3,6,3
1,3,4,suds__zeep__openstate/open-raadsinformatie__b56e4812,2,2,4,1,2,2,4,1
1,1,2,tables__h5py__yoseflab/scvi__35163f01,1,1,2,1,1,1,2,1
1,1,2,toml__tomlkit__greenbone/python-gvm__75a11ed4,1,1,2,1,1,1,2,1
31,33,64,twitter__tweepy__cloudbotirc/cloudbot__f8243223,28,29,57,27,16,19,35,17
4,3,7,twitter__tweepy__huntwelch/mongobot__bea008ae,1,3,4,1,1,3,4,1
1,1,2,ujson__rapidjson__kinto/kinto__951dd25c,1,1,2,1,1,1,2,1
1,1,2,ujson__rapidjson__murthylab/sleap__50721de0,1,1,2,1,1,1,2,1
58,58,116,umsgpack__msgpack__logicaldash/lise__028d0b34,36,36,72,36,3,3,6,3
6,6,12,unicodecsv__csv__cfpb/cfgov-refresh__b4beec37,6,6,12,6,2,2,4,2
1,1,2,unicodecsv__csv__seed-platform/seed__119ba4b7,1,1,2,1,1,1,2,1
3,1,4,unipath__pathlib__studentenportal/web__4842cff0,4,2,6,3,3,2,5,2
8,5,13,urllib3__requests__byrnereese/uphold-sdk-python__14fd0850,5,5,10,5,4,4,8,4
5,4,9,urllib3__requests__canonical/cloud-init__0fc887d9,5,4,9,8,5,3,8,8
0,7,7,urllib3__requests__finish06/pyunifi__3e534821,0,7,7,7,0,4,4,4
12,11,23,urllib3__requests__mixpanel/mixpanel-python__e8a93304,4,5,9,6,4,5,9,6
4,4,8,webapp2__flask__c4rlo/vimhelp__7a5fadfd,4,4,8,4,3,3,6,3
12,12,24,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,12,13,25,12,4,4,8,4
3,16,19,wget__requests__noaa-oar-arl/monet__590936b7,3,3,6,3,1,1,2,1
1,1,2,xlsxwriter__openpyxl__bcgov/gwells__472f336f,1,1,2,1,1,1,2,1
