source,target,repo,commit,path,line,source PEs,target PEs,cardinalities,properties,source APIs,target APIs,commit URL,mig id
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,convert.py,62:,function call,,one-to-zero,,parse_args,,https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
argparse,click,adithyabsk/keep2roam,d340eea2fdedde8908334eda34325d058fc88282,convert.py,:59,,decorator,zero-to-one,,,command,https://github.com/adithyabsk/keep2roam/commit/d340eea2,argparse__click__adithyabsk/keep2roam__d340eea2
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,34:5,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,35:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,36:35,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,37:36,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,38:37,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,39:38,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,40:39,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,41:40,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,42:41,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,45:,function call,,one-to-zero,,parse_args,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_experiment.py,:34,,decorator,zero-to-one,,,command,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,46:6,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,47:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,48:47,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,49:50,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,50:51,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,51:53,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,52:52,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,53:53,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,54:52,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,55:,function call,,one-to-zero,,parse_args,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/copy_run.py,:46,,decorator,zero-to-one,,,command,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,68:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,68:9,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,70:69,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,71:70,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,72:71,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,73:72,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,74:,function call,,one-to-zero,,parse_args,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_experiment.py,:68,,decorator,zero-to-one,,,command,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_registered_models.py,25:6,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_registered_models.py,26:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_registered_models.py,27:27,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_registered_models.py,28:,function call,,one-to-zero,,parse_args,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_registered_models.py,:25,,decorator,zero-to-one,,,command,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,90:10,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,91:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,92:91,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,94:93,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,93:92,function call,decorator,one-to-one,"argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,95:94,function call,decorator,one-to-one,"argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,96:,function call,,one-to-zero,,parse_args,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/export_run.py,:90,,decorator,zero-to-one,,,command,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,40:3,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,41:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,42:40,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,43:41,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,44:42,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,45:43,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,46:44,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,47:45,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,48:,function call,,one-to-zero,,parse_args,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_experiment.py,:39,,decorator,zero-to-one,,,command,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_model.py,46:7,import,import,not applicable,,argparse.ArgumentParser,click,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_model.py,65:,function call,,one-to-zero,,ArgumentParser,,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_model.py,66:65,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_model.py,67:66,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
argparse,click,amesar/mlflow-tools,431737a891b13a73ec7bdbc507fad21531f2cbf3,mlflow_tools/export_import/import_model.py,68:67,function call,decorator,one-to-one,"argument addition, argument deletion, element name change, parameter addition to decorated function",add_argument,option,https://github.com/amesar/mlflow-tools/commit/431737a8,argparse__click__amesar/mlflow-tools__431737a8
