source,target,repo,commit,# ccs,# files,source PEs,target PEs,properties,# PE,# props,commit URL,id
argparse,click,himkt/pyner,76106a9a4202497de9719b5a5563cadd697bd3d0,6,1,function call,decorator,"argument addition, element name change, parameter addition to decorated function",2,3,https://github.com/himkt/pyner/commit/76106a9a,argparse__click__himkt/pyner__76106a9a
argparse,click,klensy/wt-tools,760ff36bab0c7b9acaf72e9cbae274b70fb3922a,3,1,function call,decorator,"argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",2,5,https://github.com/klensy/wt-tools/commit/760ff36b,argparse__click__klensy/wt-tools__760ff36b
argparse,click,kxr/o-must-gather,9da472294ca5a598bb74cb413db0bd880f7012b2,32,1,function call,"decorator, function call","argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",2,5,https://github.com/kxr/o-must-gather/commit/9da47229,argparse__click__kxr/o-must-gather__9da47229
argparse,click,lqez/hog,d722ade4be3cf05bf32def1e732a8e8d1b78a29b,12,1,function call,"decorator, function call","argument addition, argument deletion, argument transformation, element name change",2,4,https://github.com/lqez/hog/commit/d722ade4,argparse__click__lqez/hog__d722ade4
argparse,click,magnetotesting/magneto,a5c82b8f76b8e4f97c122da9726a99f4c591ffcc,6,1,function call,decorator,"argument deletion, element name change",2,2,https://github.com/magnetotesting/magneto/commit/a5c82b8f,argparse__click__magnetotesting/magneto__a5c82b8f
argparse,click,martinthoma/hwrt,86bc433a047454b7ede27e4c0fb4bc53f381941c,17,4,"attribute, function call","attribute, decorator, function call","argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",3,5,https://github.com/martinthoma/hwrt/commit/86bc433a,argparse__click__martinthoma/hwrt__86bc433a
argparse,click,oca/maintainer-tools,69593ae691a43b75984bd92891165f1b26ad31a5,8,1,function call,decorator,"argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",2,5,https://github.com/oca/maintainer-tools/commit/69593ae6,argparse__click__oca/maintainer-tools__69593ae6
argparse,click,terryyin/google-translate-python,ac375b49cf1e72e0a79f78ba1a74e57b6c3f8aed,6,1,function call,decorator,"argument addition, argument deletion, argument transformation, element name change, parameter addition to decorated function",2,5,https://github.com/terryyin/google-translate-python/commit/ac375b49,argparse__click__terryyin/google-translate-python__ac375b49
argparse,click,yubico/yubioath-desktop,9d601b4fe39c6e37ef51ee9a1274909309d4286f,34,1,function call,"decorator, function call","argument addition, argument deletion, argument name change, argument transformation, element name change, parameter addition to decorated function",2,6,https://github.com/yubico/yubioath-desktop/commit/9d601b4f,argparse__click__yubico/yubioath-desktop__9d601b4f
argparse,configargparse,rocketmap/rocketmap,2960ec68f85274c37068e2577f28c44eecc4ff26,8,1,function call,function call,"argument addition, argument deletion, element name change",1,3,https://github.com/rocketmap/rocketmap/commit/2960ec68,argparse__configargparse__rocketmap/rocketmap__2960ec68
argparse,docopt,ceph/teuthology,fb3210538573bfe67d1f3faf0edb566a2c9877a6,1,1,function call,function call,"argument transformation, element name change",1,2,https://github.com/ceph/teuthology/commit/fb321053,argparse__docopt__ceph/teuthology__fb321053
argparse,docopt,hootnot/oandapyv20-examples,e1df70e3f16a3275c8648cf873e3db10425d7fa3,1,1,function call,function call,"argument transformation, element name change",1,2,https://github.com/hootnot/oandapyv20-examples/commit/e1df70e3,argparse__docopt__hootnot/oandapyv20-examples__e1df70e3
argparse,docopt,tankerhq/tbump,54b12e29d860336593ff24a514f4d2c9c483b470,1,1,function call,function call,"argument transformation, element name change",1,2,https://github.com/tankerhq/tbump/commit/54b12e29,argparse__docopt__tankerhq/tbump__54b12e29
asyncio-redis,aioredis,augerai/a2ml,13ea499e413b86256345fbf39f26628b68a7fe83,3,1,function call,function call,"argument addition, argument deletion, element name change",1,3,https://github.com/augerai/a2ml/commit/13ea499e,asyncio-redis__aioredis__augerai/a2ml__13ea499e
asyncio-redis,aioredis,eyepea/api-hour,97286ef346d9378e92f5bf5627b2ff109e17079a,1,1,function call,function call,"argument addition, element name change",1,2,https://github.com/eyepea/api-hour/commit/97286ef3,asyncio-redis__aioredis__eyepea/api-hour__97286ef3
attrs,dataclasses,aiortc/aiortc,270edaf4237cba1942fc0b8cc98f3ae4dfc3f0e1,187,12,"decorator, function call","decorator, function call","argument transformation, element name change",2,2,https://github.com/aiortc/aiortc/commit/270edaf4,attrs__dataclasses__aiortc/aiortc__270edaf4
attrs,dataclasses,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,29,9,"decorator, function call","decorator, function call","argument deletion, element name change",2,2,https://github.com/keepsafe/aiohttp/commit/e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff
attrs,dataclasses,project-alice-assistant/projectalice,f1fe8cb8fe07a6ee7973dae4ea4a3fde3940352c,20,6,"decorator, function call","decorator, function call","argument addition, argument deletion, argument transformation, element name change",2,4,https://github.com/project-alice-assistant/projectalice/commit/f1fe8cb8,attrs__dataclasses__project-alice-assistant/projectalice__f1fe8cb8
attrs,dataclasses,simonlindholm/decomp-permuter,cfbb706402fe106ae19762279eab8294a531f20c,53,8,"decorator, function call","decorator, function call","argument name change, element name change",2,2,https://github.com/simonlindholm/decomp-permuter/commit/cfbb7064,attrs__dataclasses__simonlindholm/decomp-permuter__cfbb7064
bcrypt,passlib,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,1,1,function call,function call,"argument deletion, argument transformation, element name change",1,3,https://github.com/twiliodeved/sms2fa-flask/commit/22eedfcd,bcrypt__passlib__twiliodeved/sms2fa-flask__22eedfcd
beautifulsoup,bs4,cfpb/cfgov-refresh,3262610155669294fa5b79c108b6a244d9d03cbc,1,1,function call,function call,argument addition,1,1,https://github.com/cfpb/cfgov-refresh/commit/32626101,beautifulsoup__bs4__cfpb/cfgov-refresh__32626101
botocore,boto,whoopinc/mkwheelhouse,54806ffc8eddb19cb4b603a380a2f1126eaae84e,1,1,function call,function call,"argument addition, argument deletion, element name change",1,3,https://github.com/whoopinc/mkwheelhouse/commit/54806ffc,botocore__boto__whoopinc/mkwheelhouse__54806ffc
botocore,boto,zalando/spilo,a83681c756fe8dfc8e5117c690bde16319e3e943,1,1,exception,exception,element name change,1,1,https://github.com/zalando/spilo/commit/a83681c7,botocore__boto__zalando/spilo__a83681c7
bottle,flask,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,5,1,function call,function call,"argument addition, element name change",1,2,https://github.com/cqmoe/python-cqhttp/commit/f9f083ec,bottle__flask__cqmoe/python-cqhttp__f9f083ec
bottle,flask,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,3,1,"decorator, function call","attribute, decorator, function call","argument addition, argument transformation, element name change",3,3,https://github.com/heyman/locust/commit/4067b929,bottle__flask__heyman/locust__4067b929
bottle,flask,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,5,1,function call,function call,"argument addition, argument deletion, argument transformation, element name change",1,4,https://github.com/nicolas-van/pygreen/commit/843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe
bunch,munch,1and1/confluencer,df895ac8e75c13e32e2369bc4d9c88aa036ab9d4,0,3,,,,0,0,https://github.com/1and1/confluencer/commit/df895ac8,bunch__munch__1and1/confluencer__df895ac8
bunch,munch,fedora-infra/python-fedora,aca2a20a5c1a889eed655f36ef1bf28dd32c3145,12,6,"function call, type","function call, type",element name change,2,1,https://github.com/fedora-infra/python-fedora/commit/aca2a20a,bunch__munch__fedora-infra/python-fedora__aca2a20a
celery,rq,sapfir0/premier-eye,a7375ccc40885f04faf4a05852591e6de4ba676d,0,1,,,,0,0,https://github.com/sapfir0/premier-eye/commit/a7375ccc,celery__rq__sapfir0/premier-eye__a7375ccc
characteristic,attrs,rackerlabs/mimic,5bb494665ce21b645f273bb4597f6dfae861c573,218,20,"decorator, function call","decorator, function call","argument deletion, argument name change, argument transformation, element name change",2,4,https://github.com/rackerlabs/mimic/commit/5bb49466,characteristic__attrs__rackerlabs/mimic__5bb49466
chardet,cchardet,emlid/ntripbrowser,9161c1943a8623892b174c98cdf686a4a0ce8673,1,1,function call,function call,,1,0,https://github.com/emlid/ntripbrowser/commit/9161c194,chardet__cchardet__emlid/ntripbrowser__9161c194
cheetah3,jinja2,openstack/ironic,cbf214b5130e362f57dbe5da99f4cef1918d882d,2,2,function call,function call,"element name change, output transformation",1,2,https://github.com/openstack/ironic/commit/cbf214b5,cheetah3__jinja2__openstack/ironic__cbf214b5
cheetah3,jinja2,shingetsu/saku,d1ad50a9baedf58b37fd8527c09d9b0668d59013,1,1,function call,function call,"argument transformation, element name change",1,2,https://github.com/shingetsu/saku/commit/d1ad50a9,cheetah3__jinja2__shingetsu/saku__d1ad50a9
cheetah,jinja2,shingetsu/saku,d1ad50a9baedf58b37fd8527c09d9b0668d59013,1,1,function call,function call,"argument transformation, element name change",1,2,https://github.com/shingetsu/saku/commit/d1ad50a9,cheetah__jinja2__shingetsu/saku__d1ad50a9
click,argparse,kittenparry/meituri-downloader,422d73beace31a95a817d9befa860ca932df4596,6,1,decorator,function call,"argument addition, element name change",2,2,https://github.com/kittenparry/meituri-downloader/commit/422d73be,click__argparse__kittenparry/meituri-downloader__422d73be
click,argparse,neurostuff/nimare,2b80aa28bbcb175823af5b3575d35b61488ecdf0,0,1,,,,0,0,https://github.com/neurostuff/nimare/commit/2b80aa28,click__argparse__neurostuff/nimare__2b80aa28
click,argparse,nodepy/nodepy,715142ce26bf8ced33b9fb07fd951ab650f9c236,13,1,decorator,"attribute, function call","argument addition, argument deletion, argument transformation, element name change",3,4,https://github.com/nodepy/nodepy/commit/715142ce,click__argparse__nodepy/nodepy__715142ce
click,argparse,titusz/onixcheck,f17d1861f0fd83d951149066b55fdf1010bb7701,17,2,"decorator, function call",function call,"argument addition, argument deletion, argument transformation, element name change",2,4,https://github.com/titusz/onixcheck/commit/f17d1861,click__argparse__titusz/onixcheck__f17d1861
cloud-sptheme,sphinx-rtd-theme,danielyule/hearthbreaker,d018edff306bf88c8be56d2c8252a44b374f9293,1,1,function call,function call,element name change,1,1,https://github.com/danielyule/hearthbreaker/commit/d018edff,cloud-sptheme__sphinx-rtd-theme__danielyule/hearthbreaker__d018edff
configparser,configobj,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,1,1,function call,function call,"argument addition, argument deletion, argument transformation, element name change",1,4,https://github.com/ctlearn-project/ctlearn/commit/2375af87,configparser__configobj__ctlearn-project/ctlearn__2375af87
configparser,configobj,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,0,1,,,,0,0,https://github.com/dbcli/mycli/commit/b7a0b0f7,configparser__configobj__dbcli/mycli__b7a0b0f7
csv,unicodecsv,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,3,1,"exception, function call","exception, function call",,2,0,https://github.com/ckan/ckanext-datapackager/commit/a6a3fb3a,csv__unicodecsv__ckan/ckanext-datapackager__a6a3fb3a
csv,unicodecsv,codesy/codesy,b5824f4f99b62978952b489d10d558e681c69497,1,1,function call,function call,argument addition,1,1,https://github.com/codesy/codesy/commit/b5824f4f,csv__unicodecsv__codesy/codesy__b5824f4f
csv,unicodecsv,heroku/salesforce-bulk,2f787fa0535957c3f7f864f3108bd1c2bc8a1271,0,1,,,,0,0,https://github.com/heroku/salesforce-bulk/commit/2f787fa0,csv__unicodecsv__heroku/salesforce-bulk__2f787fa0
csv,unicodecsv,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,4,1,function call,function call,,1,0,https://github.com/mlsecproject/combine/commit/efe20ac0,csv__unicodecsv__mlsecproject/combine__efe20ac0
csv,unicodecsv,praekelt/molo,567b66f9b129587e9807fc9f6d96d49e1da4a19f,1,1,function call,function call,argument addition,1,1,https://github.com/praekelt/molo/commit/567b66f9,csv__unicodecsv__praekelt/molo__567b66f9
csv,unicodecsv,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,2,1,function call,function call,,1,0,https://github.com/radremedy/radremedy/commit/8fa9b7fd,csv__unicodecsv__radremedy/radremedy__8fa9b7fd
csv,unicodecsv,shoopio/shoop,639e3b5ff5a2359583e5bacd0a8c45fd0a6457c6,1,1,function call,function call,argument addition,1,1,https://github.com/shoopio/shoop/commit/639e3b5f,csv__unicodecsv__shoopio/shoop__639e3b5f
dataproperty,typepy,thombashi/datetimerange,936761f779c4f7dc8c2d4c03c47b6e7b6e978a89,2,1,function call,function call,"argument addition, argument deletion, element name change",1,3,https://github.com/thombashi/datetimerange/commit/936761f7,dataproperty__typepy__thombashi/datetimerange__936761f7
dataproperty,typepy,thombashi/pingparsing,45fac3cb38661f80fc8bd129ce633cfd15423835,14,2,function call,function call,"element name change, output transformation",1,2,https://github.com/thombashi/pingparsing/commit/45fac3cb,dataproperty__typepy__thombashi/pingparsing__45fac3cb
dataproperty,typepy,thombashi/sqlitebiter,26c8e7467fb764d6abca03d6830f7679cbfc3ea1,4,1,function call,function call,element name change,1,1,https://github.com/thombashi/sqlitebiter/commit/26c8e746,dataproperty__typepy__thombashi/sqlitebiter__26c8e746
dill,cloudpickle,blaze/distributed,6dc1f3f202fbef0e530b7e89c300e4f4d59dbc30,0,1,,,,0,0,https://github.com/blaze/distributed/commit/6dc1f3f2,dill__cloudpickle__blaze/distributed__6dc1f3f2
dill,cloudpickle,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,2,2,"attribute, function call",function call,element name change,2,1,https://github.com/rapid-design-of-systems-laboratory/beluga/commit/078e3e56,dill__cloudpickle__rapid-design-of-systems-laboratory/beluga__078e3e56
django-rest-swagger,drf-yasg,bcgov/theorgbook,728f86e941dfb6bdbee27628d28425757af5f22d,0,1,,,,0,0,https://github.com/bcgov/theorgbook/commit/728f86e9,django-rest-swagger__drf-yasg__bcgov/theorgbook__728f86e9
django-rest-swagger,drf-yasg,opengisch/qfieldcloud,4377d67a99ed8b6680276cbf4585cbac18439b37,0,1,,,,0,0,https://github.com/opengisch/qfieldcloud/commit/4377d67a,django-rest-swagger__drf-yasg__opengisch/qfieldcloud__4377d67a
django,utils,rq/django-rq,310ac1d9934796988ef454d83a34b8e08bc608ce,0,4,,,,0,0,https://github.com/rq/django-rq/commit/310ac1d9,django__utils__rq/django-rq__310ac1d9
docopt,argparse,aio-libs/aioftp,ba6ef08fb7ebb9d5db4034e65622f4d80288fa6a,1,1,function call,function call,"argument transformation, element name change",1,2,https://github.com/aio-libs/aioftp/commit/ba6ef08f,docopt__argparse__aio-libs/aioftp__ba6ef08f
docopt,argparse,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,0,1,,,,0,0,https://github.com/deepspace2/styleframe/commit/ffc8d761,docopt__argparse__deepspace2/styleframe__ffc8d761
docopt,argparse,mete0r/pyhwp,0c5c5e7898e5c82ad5543ad4f990cbc69439619a,5,5,function call,function call,"argument transformation, element name change",1,2,https://github.com/mete0r/pyhwp/commit/0c5c5e78,docopt__argparse__mete0r/pyhwp__0c5c5e78
docopt,click,michaeljoseph/changes,d9a8faec7953abfcbf3ffd9b12d6a4be6b71444f,4,3,function call,"decorator, function call","argument addition, argument deletion, argument transformation, element name change",2,4,https://github.com/michaeljoseph/changes/commit/d9a8faec,docopt__click__michaeljoseph/changes__d9a8faec
ed25519,pynacl,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,6,2,"function call, type","function call, type","argument addition, argument transformation, element name change",2,3,https://github.com/romanz/trezor-agent/commit/e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b
enum,aenum,princetonuniversity/psyneulink,5253a55c46d529b69397fc1d54d3f8e7262c337b,4,2,type,type,element name change,1,1,https://github.com/princetonuniversity/psyneulink/commit/5253a55c,enum__aenum__princetonuniversity/psyneulink__5253a55c
ethereum,ethereum-utils,omisego/plasma-contracts,fc4ac19f5d4f0d9f26125cd8042908a0bc46f4f0,0,22,,,,0,0,https://github.com/omisego/plasma-contracts/commit/fc4ac19f,ethereum__ethereum-utils__omisego/plasma-contracts__fc4ac19f
eventlet,gevent,c00w/bithopper,66125263ad3224e85cfe38682fe586f72747492b,5,3,function call,function call,"argument deletion, element name change",1,2,https://github.com/c00w/bithopper/commit/66125263,eventlet__gevent__c00w/bithopper__66125263
eventlet,gevent,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,19,5,"exception, function call","exception, function call","argument addition, element name change",2,2,https://github.com/noisyboiler/wampy/commit/f87f7bee,eventlet__gevent__noisyboiler/wampy__f87f7bee
eventlet,gevent,phuks-co/throat,9a2896095779bfc60d544d52c5c28c0187f31949,1,1,function call,function call,element name change,1,1,https://github.com/phuks-co/throat/commit/9a289609,eventlet__gevent__phuks-co/throat__9a289609
eventlet,gevent,stefal/rtkbase,a4c347a2ede5fba1d0e787193b7dc4079ab4fd6f,1,1,function call,function call,element name change,1,1,https://github.com/stefal/rtkbase/commit/a4c347a2,eventlet__gevent__stefal/rtkbase__a4c347a2
fabric3,invoke,skoczen/will,437f8be397b864dc83c67af8942467907ccf1c21,27,1,function call,"decorator, function call",element name change,2,1,https://github.com/skoczen/will/commit/437f8be3,fabric3__invoke__skoczen/will__437f8be3
fabric3,paramiko,mirantis/openstack-lbaas,d7440d4693629c15fc6ce6cc09d6bcda62c8b08a,23,1,function call,function call,"argument addition, argument transformation, element name change, output transformation",1,4,https://github.com/mirantis/openstack-lbaas/commit/d7440d46,fabric3__paramiko__mirantis/openstack-lbaas__d7440d46
flask-restful,flask-restplus,kizniche/mycodo,047263beb9e4301c30eef0f44d8d93c722b31f20,0,1,,,,0,0,https://github.com/kizniche/mycodo/commit/047263be,flask-restful__flask-restplus__kizniche/mycodo__047263be
flask-restful,flask-restplus,testdrivenio/flask-react-aws,d4119a0f609b151df99b2250e419c168e688a0c6,1,2,function call,function call,"argument transformation, element name change",1,2,https://github.com/testdrivenio/flask-react-aws/commit/d4119a0f,flask-restful__flask-restplus__testdrivenio/flask-react-aws__d4119a0f
flask-restful,flask-restplus,ziirish/burp-ui,8ef3b624e52ac6a9420c533b0dd744a36d91c4d3,0,7,,,,0,0,https://github.com/ziirish/burp-ui/commit/8ef3b624,flask-restful__flask-restplus__ziirish/burp-ui__8ef3b624
flask-restplus,flask-restx,apryor6/flaskerize,59d8319355bf95f26949fe13ac3d6be5b5282fb6,0,4,,,,0,0,https://github.com/apryor6/flaskerize/commit/59d83193,flask-restplus__flask-restx__apryor6/flaskerize__59d83193
flask-restplus,flask-restx,kizniche/mycodo,516917351d7d8341375db4481ac72910c9510a42,0,11,,,,0,0,https://github.com/kizniche/mycodo/commit/51691735,flask-restplus__flask-restx__kizniche/mycodo__51691735
flask-restplus,flask-restx,orchest/orchest,6b629d0d0dc7d44113e75a8a3f97a1c68d2ee131,0,11,,,,0,0,https://github.com/orchest/orchest/commit/6b629d0d,flask-restplus__flask-restx__orchest/orchest__6b629d0d
flask-restplus,flask-restx,pythondataintegrator/pythondataintegrator,598f275f11bdb1796b4ea0f6b3676a45758c08c4,0,8,,,,0,0,https://github.com/pythondataintegrator/pythondataintegrator/commit/598f275f,flask-restplus__flask-restx__pythondataintegrator/pythondataintegrator__598f275f
flask,bottle,arosenfeld/immunedb,6141b13b2da6843b37e76e40ba536a4ad81124ad,13,1,"decorator, function call",decorator,,2,0,https://github.com/arosenfeld/immunedb/commit/6141b13b,flask__bottle__arosenfeld/immunedb__6141b13b
flask,fastapi,bretttolbert/verbecc-svc,24a848d285ae2c6f3e5b06d1a8ee718cb3f17133,0,1,,,,0,0,https://github.com/bretttolbert/verbecc-svc/commit/24a848d2,flask__fastapi__bretttolbert/verbecc-svc__24a848d2
flask,fastapi,virtuber/openvtuber,3abbc431e586218470f47eac10fa6d351c6fe907,1,1,function call,function call,"argument deletion, element name change",1,2,https://github.com/virtuber/openvtuber/commit/3abbc431,flask__fastapi__virtuber/openvtuber__3abbc431
flask,quart,elblogbruno/notionai-mymind,002f5bde5d5d5f2eaaf6999e41e4619817c10400,4,1,"attribute, function call","attribute, function call","async transformation, element name change",2,2,https://github.com/elblogbruno/notionai-mymind/commit/002f5bde,flask__quart__elblogbruno/notionai-mymind__002f5bde
flask,quart,intel/stacks-usecase,22cc3f007a3267ca09a3f53b84fdbfff1f045e88,8,1,"attribute, function call","attribute, function call",element name change,2,1,https://github.com/intel/stacks-usecase/commit/22cc3f00,flask__quart__intel/stacks-usecase__22cc3f00
flask,quart,learningorchestra/learningorchestra,db7f1321e13b5386f94670537aa49943f0f0cec9,1,1,function call,function call,element name change,1,1,https://github.com/learningorchestra/learningorchestra/commit/db7f1321,flask__quart__learningorchestra/learningorchestra__db7f1321
flask,quart,pgjones/faster_than_flask_article,0a70f2bddae90da13da5bce2b77ea56355ecc5d1,2,3,function call,function call,"async transformation, element name change",1,2,https://github.com/pgjones/faster_than_flask_article/commit/0a70f2bd,flask__quart__pgjones/faster_than_flask_article__0a70f2bd
flask,quart,synesthesiam/voice2json,7ea7ddb8400775282e82c1adcb17b013f27ede2b,12,1,"attribute, function call","attribute, function call","async transformation, element name change",2,2,https://github.com/synesthesiam/voice2json/commit/7ea7ddb8,flask__quart__synesthesiam/voice2json__7ea7ddb8
flask,quart,talkpython/async-techniques-python-course,aa607bd32a90d7693e91bd4a1be39baec2d889ba,8,3,function call,function call,element name change,1,1,https://github.com/talkpython/async-techniques-python-course/commit/aa607bd3,flask__quart__talkpython/async-techniques-python-course__aa607bd3
flask,tornado,krischer/instaseis,13c26a6d59942807a3bf4607c29ba391511d8af6,0,1,,,,0,0,https://github.com/krischer/instaseis/commit/13c26a6d,flask__tornado__krischer/instaseis__13c26a6d
flask,uvicorn,virtuber/openvtuber,3abbc431e586218470f47eac10fa6d351c6fe907,1,1,function call,function call,"argument addition, argument deletion",1,2,https://github.com/virtuber/openvtuber/commit/3abbc431,flask__uvicorn__virtuber/openvtuber__3abbc431
fuzzywuzzy,rapidfuzz,nlpia/nlpia-bot,054d5d207cba12d9b5c4765454be1c51424ea4f3,0,1,,,,0,0,https://github.com/nlpia/nlpia-bot/commit/054d5d20,fuzzywuzzy__rapidfuzz__nlpia/nlpia-bot__054d5d20
gcloud-aio-core,aiohttp,talkiq/gcloud-aio,45d94ddaf969648d5479ff480a92b16d537716f9,1,1,function call,function call,"argument addition, argument transformation, element name change",1,3,https://github.com/talkiq/gcloud-aio/commit/45d94dda,gcloud-aio-core__aiohttp__talkiq/gcloud-aio__45d94dda
gcloud-aio-core,aiohttp,talkiq/gcloud-aio,963f34706918757ab7d3cbad70c363b9a48b9d40,1,1,function call,function call,"argument addition, argument transformation, element name change",1,3,https://github.com/talkiq/gcloud-aio/commit/963f3470,gcloud-aio-core__aiohttp__talkiq/gcloud-aio__963f3470
gcloud-aio-core,aiohttp,talkiq/gcloud-aio,d15540f94ecdf468b1baf7fd9c025e4f862b3b69,0,1,,,,0,0,https://github.com/talkiq/gcloud-aio/commit/d15540f9,gcloud-aio-core__aiohttp__talkiq/gcloud-aio__d15540f9
gcloud,google,googlecloudplatform/gcloud-python,e55a1d846e7872b90e325c16a5f2d5f2c21df04e,0,6,,,,0,0,https://github.com/googlecloudplatform/gcloud-python/commit/e55a1d84,gcloud__google__googlecloudplatform/gcloud-python__e55a1d84
gcloud,google,wal-e/wal-e,be9820b90101b1bf845814c56e55ac7d6e6878f9,1,5,function call,function call,element name change,1,1,https://github.com/wal-e/wal-e/commit/be9820b9,gcloud__google__wal-e/wal-e__be9820b9
gevent,eventlet,duanhongyi/dwebsocket,d707ff652fd74c3420e83a50fc9b1b9026ed0d98,2,1,function call,function call,element name change,1,1,https://github.com/duanhongyi/dwebsocket/commit/d707ff65,gevent__eventlet__duanhongyi/dwebsocket__d707ff65
gevent,eventlet,miguelgrinberg/flask-socketio,883e73e548869ca6896e6b6cc6f44627c0168499,1,1,function call,function call,element name change,1,1,https://github.com/miguelgrinberg/flask-socketio/commit/883e73e5,gevent__eventlet__miguelgrinberg/flask-socketio__883e73e5
gevent,eventlet,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,9,1,function call,function call,,1,0,https://github.com/projectcalico/felix/commit/657e7274,gevent__eventlet__projectcalico/felix__657e7274
gevent,eventlet,stefal/rtkbase,cf856c0cc9cbb0f810d59c9419f8789a1f9f5a80,1,1,function call,function call,element name change,1,1,https://github.com/stefal/rtkbase/commit/cf856c0c,gevent__eventlet__stefal/rtkbase__cf856c0c
