id,repo,commit,source,target,file path,incomplete?,lines,source APIs,target APIs,program element,cardinality,properties,commit URL,candidate source lines,candidate target lines,migration id,file id
M53,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,,32:,WarmupCosineWithWarmupRestartsSchedule,,object,,,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,"5-6,19,27-28,32,65,76,78,203,209,211,214,220,494,497,499,502,505,507,510,542,560","5-6,29-30,196,200,207,209,220,238,413,418,430,446,456,480,482",pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/learner.py
M54,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/lm-data.py,,5:5,pytorch_pretrained_bert.tokenization,pytorch_transformers,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,5,5,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/lm-data.py
M55,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/modeling.py,,1:1,pytorch_pretrained_bert.modeling,pytorch_transformers,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,1,1,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/modeling.py
M56,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/prediction.py,,3:3,pytorch_pretrained_bert.tokenization,pytorch_transformers,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,3,3,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/prediction.py
M57,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/score.py,,6:10,"from pytorch_pretrained_bert import BertTokenizer, BertModel, BertForMaskedLM","from transformers import AutoModel, AutoTokenizer",import,many-to-many,full statement replacement,https://github.com/tiiiger/bert_score/commit/04376e1e,"6,33-35,40,51,85-87,91-92,94,97,99","10,20-21,26-27,29-30,32,37,39-40,72-73,80-81,86,134-135,141-142,144,146,154-155",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/score.py
M58,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/score.py,,33:72; 85:134,BertTokenizer.from_pretrained,AutoTokenizer.from_pretrained,function call,one-to-one,function name change; ,https://github.com/tiiiger/bert_score/commit/04376e1e,"6,33-35,40,51,85-87,91-92,94,97,99","10,20-21,26-27,29-30,32,37,39-40,72-73,80-81,86,134-135,141-142,144,146,154-155",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/score.py
M59,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,,no code change,,,,,,https://github.com/tiiiger/bert_score/commit/04376e1e,,"11,17-20",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/utils.py
M60,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,cli/score.py,,no code change,,,,,,https://github.com/tiiiger/bert_score/commit/04376e1e,7,,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__cli/score.py
M61,allenai/abductive-commonsense-reasoning,abfeffc58f4d5ccfccbadedcb70dea6fab981f82,pytorch-transformers,transformers,anlg/tokenizers.py,,2:2,pytorch_transformers ,transformers ,import,one-to-one,module name change,https://github.com/allenai/abductive-commonsense-reasoning/commit/abfeffc5,2,2,pytorch-transformers__transformers__allenai/abductive-commonsense-reasoning__abfeffc5,pytorch-transformers__transformers__allenai/abductive-commonsense-reasoning__abfeffc5__anlg/tokenizers.py
M62,jsybrandt/agatha,b570ef0eed11a0d55f1e00d0291fccad62f06222,pytorch-transformers,transformers,pymoliere/construct/embedding_util.py,,10:10,pytorch_transformers ,transformers,import,one-to-one,module name change,https://github.com/jsybrandt/agatha/commit/b570ef0e,10,10,pytorch-transformers__transformers__jsybrandt/agatha__b570ef0e,pytorch-transformers__transformers__jsybrandt/agatha__b570ef0e__pymoliere/construct/embedding_util.py
M42,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/analytics/tasks/licenses.py,,3:2,from raven.contrib.django.raven_compat.models import client,import sentry_sdk,import,one-to-one,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,"3,35","2,35",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/analytics/tasks/licenses.py
M43,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/analytics/tasks/licenses.py,,35:35,client.captureException,sentry_sdk.capture_exception,function call,one-to-one,function name change,https://github.com/kiwicom/the-zoo/commit/e22070c0,"3,35","2,35",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/analytics/tasks/licenses.py
M44,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/auditing/runner.py,,8:4,from raven.contrib.django.raven_compat.models import client,import sentry_sdk,import,one-to-one,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,"8,142","4,142,144",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/auditing/runner.py
M45,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/auditing/runner.py,,142:142-144,client.captureException,sentry_sdk.push_scope;fingerprint;sentry_sdk.capture_exception,function call:function call;attribute access,one-to-many,,https://github.com/kiwicom/the-zoo/commit/e22070c0,"8,142","4,142,144",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/auditing/runner.py
M46,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,,:13,,import sentry_sdk,import,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
M64,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,,:14,,from sentry_sdk.integrations.django import DjangoIntegration,import,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
M47,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,,:231-233,DjangoIntegration; init,,function call,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,,"13-14,231-232",raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/base/settings.py
M48,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/utils.py,,4:,raven,,import,,full statement replacement,https://github.com/kiwicom/the-zoo/commit/e22070c0,"4,11",,raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/utils.py
M49,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/utils.py,,11:,raven.fetch_git_sha,,function call,,,https://github.com/kiwicom/the-zoo/commit/e22070c0,"4,11",,raven__sentry-sdk__kiwicom/the-zoo__e22070c0,raven__sentry-sdk__kiwicom/the-zoo__e22070c0__zoo/utils.py
M21,openstack/ironic-inspector,f4648facf76ff2ac742fc11bb81880f262e61ee2,retrying,tenacity,ironic_inspector/common/ironic.py,,21:21,retrying,tenacity,import,one-to-one,module name change,https://github.com/openstack/ironic-inspector/commit/f4648fac,"21,190","21,190-193",retrying__tenacity__openstack/ironic-inspector__f4648fac,retrying__tenacity__openstack/ironic-inspector__f4648fac__ironic_inspector/common/ironic.py
M22,openstack/ironic-inspector,f4648facf76ff2ac742fc11bb81880f262e61ee2,retrying,tenacity,ironic_inspector/common/ironic.py,,190-192:190-194,retrying.retry,tenacity.retry,decorator,one-to-one,argument transformation; argument addition; argument name change,https://github.com/openstack/ironic-inspector/commit/f4648fac,"21,190","21,190-193",retrying__tenacity__openstack/ironic-inspector__f4648fac,retrying__tenacity__openstack/ironic-inspector__f4648fac__ironic_inspector/common/ironic.py
