id 1,id 2,repo,commit,source,target,file path,lines,flag,R1 source APIs,R2 source APIs,agreed source API,R1 target APIs,R2 target APIs,agreed target APIs,R1 source program elements,R2 source program elements,agreed source program elements,R1 target program elements,R2 target program elements,agreed target program elements,R1 cardinality,R2 cardinality,agreed cardinality,R1 properties,R2 properties,agreed properties,R1 comments,R2 comments,R1,R2
M16,A16,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,220:220,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M17,A17,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,229:229,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M18,A18,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,238:238,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M19,A19,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,247:247,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M20,A20,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,257:257,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M21,A21,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,267:267,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M22,A22,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,277:277,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M23,A23,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,282:282,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M24,A24,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,287:287,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M25,A25,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,292:292,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M26,A26,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,297:297,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M27,A27,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,302:302,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M28,A28,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,309:309,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M29,A29,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,316:316,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M30,A30,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,323:323,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M31,A31,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/tracing.py,330:330,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M32,A32,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_request.py,27:2,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M33,A33,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_request.py,69:69,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M34,A34,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_routedef.py,18:2,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M35,A35,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_routedef.py,60:59,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M36,A36,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_routedef.py,85:84,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M37,A37,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_ws.py,9:4,,import attr,attr,,import dataclasses,dataclasses,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M38,A38,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/web_ws.py,44:44,,s,attr.s,,dataclass,dataclasses.dataclass,,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument deletion;element name change,argument deletion,,,,moha,ajay
M39,A39,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,test/helpers.py,5:5,,import eventlet,eventlet,,import gevent,gevent,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M40,A40,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,test/helpers.py,13:13,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,Correct line is 11:11,moha,ajay
M48,A48,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/__init__.py,8:8,,import eventlet,eventlet,,import gevent.monkey,gevent.monkey,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M49,A49,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/__init__.py,25:25,,monkey_patch,monkey_patch,monkey_patch,patch_all,patch_all,patch_all,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,element name change,no properties,,,,moha,ajay
M50,A50,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/session.py,8:8-9,,import eventlet,eventlet,,"import gevent
import gevent.queue",gevent.queue;gevent,,import,import,import,import,import,import,many-to-one,one-to-many,,full statement replacement,full statement replacement,full statement replacement,,,moha,ajay
M51,A51,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/session.py,68:69,,Queue,Queue,Queue,Queue,Queue,Queue,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M52,A52,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/session.py,118:119,,Timeout,Timeout,Timeout,Empty,Empty,Empty,exception,exception,exception,exception,exception,exception,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,ajay
M53,A53,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/session.py,171:167-168,,spawn,spawn,spawn,spawn,spawn,spawn,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument transformation,no properties,,,,moha,ajay
M54,A54,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/session.py,178:175,,spawn,spawn,spawn,spawn,spawn,spawn,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M55,A55,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,5:5,,import eventlet,eventlet,,import gevent.monkey,gevent,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M56,A56,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,13:13,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M57,A57,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,18:18,,sleep,sleep,sleep,sleep,sleep,sleep,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition,,,moha,ajay
M58,A58,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,22:22,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M59,A59,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,27:27,,sleep,sleep,sleep,sleep,sleep,sleep,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition,,,moha,ajay
M60,A60,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,31:31,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M61,A61,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,33:33,,sleep,sleep,sleep,sleep,sleep,sleep,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition,,,moha,ajay
M62,A62,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,40:40,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M63,A63,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/testing/helpers.py,42:42,,sleep,sleep,sleep,sleep,sleep,sleep,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition,,,moha,ajay
M64,A64,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/transports/websocket/connection.py,12:12,,import eventlet,eventlet,,import gevent.monkey,gevent,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M65,A65,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/transports/websocket/connection.py,72:72,,GreenletExit,GreenletExit,GreenletExit,GreenletExit,GreenletExit,GreenletExit,import,class object,,import,class object,,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M66,A66,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/transports/websocket/connection.py,153:153,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M67,A67,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/transports/websocket/connection.py,155:155,,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,exception,exception,exception,exception,exception,exception,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,ajay
M68,A68,noisyboiler/wampy,f87f7bee3363567132240caac62c8a3f8148a8fe,eventlet,gevent,wampy/transports/websocket/connection.py,211:211,,sleep,sleep,sleep,sleep,sleep,sleep,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition,,,moha,ajay
M69,A69,openstack/ironic,cbf214b5130e362f57dbe5da99f4cef1918d882d,cheetah3,jinja2,ironic/drivers/modules/pxe.py,21:25,,from Cheetah import Template,from Cheetah import Template,from Cheetah import Template,import jinja2,import jinja2,import jinja2,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement,,,moha,ajay
M71,A71,openstack/ironic,cbf214b5130e362f57dbe5da99f4cef1918d882d,cheetah3,jinja2,ironic/nova/tilera.py,55:25,,from Cheetah import Template,from Cheetah import Template,from Cheetah import Template,import jinja2,import jinja2,import jinja2,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement,,,moha,ajay
M72,A72,openstack/ironic,cbf214b5130e362f57dbe5da99f4cef1918d882d,cheetah3,jinja2,ironic/nova/tilera.py,restofthefile,,Template,Template.Template,,FileSystemLoader;get_template;render;Environment,get_template;render;Environment,,function call,function call,function call,function call,function call,function call,one-to-many,one-to-many,one-to-many,type cast,argument transformation,,misc properties,,moha,ajay
M73,A73,shingetsu/saku,d1ad50a9baedf58b37fd8527c09d9b0668d59013,cheetah3,jinja2,shingetsu/template.py,34:32,,import Cheetah.Template,Cheetah.Template,,import jinja2,jinja2,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,,,,moha,ajay
M77,A75,whoopinc/mkwheelhouse,54806ffc8eddb19cb4b603a380a2f1126eaae84e,botocore,boto,mkwheelhouse.py,12:13-14,,import botocore.session,botocore.session,,"import boto
import boto.s3.connection",boto.s3.connection;boto,,import,import,import,import,import,import,one-to-many,one-to-many,one-to-many,full statement replacement,full statement replacement,full statement replacement,,,moha,ajay
M81,A79,zalando/spilo,a83681c756fe8dfc8e5117c690bde16319e3e943,botocore,boto,postgres-appliance/callback_aws.py,9:3-4,,from botocore.exceptions import ClientError,from botocore.exceptions import ClientError;import boto3,,"import boto.ec2
import boto.utils",import boto.utils;import boto.ec2,,import,import,import,import,import,import,one-to-many,many-to-many,,full statement replacement,full statement replacement,full statement replacement,,"MR code: 3,9:3-4",moha,ajay
M82,A80,zalando/spilo,a83681c756fe8dfc8e5117c690bde16319e3e943,botocore,boto,postgres-appliance/callback_aws.py,22:18,,ClientError,ClientError,ClientError,BotoServerError,BotoServerError,BotoServerError,exception,exception,exception,exception,exception,exception,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,ajay
M85,S1,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,15:6,,import ipaddr as ipaddress,ipaddr,,import netaddr,netaddr,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement,,,moha,sarah
M86,S2,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,237:233,,IPv4Address,IPv4Address,IPv4Address,IPAddress,IPAddress,IPAddress,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition;element name change,argument addition;element name change,argument addition;element name change,,,moha,sarah
M87,S3,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,238:234,,AddressValueError,AddressValueError,AddressValueError,AddrFormatError,AddrFormatError,AddrFormatError,exception,exception,exception,exception,exception,exception,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,sarah
M88,S4,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,257:253,,IPv6Address,IPv4Address,,IPAddress,IPAddress,IPAddress,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition;element name change,argument addition,,,,moha,sarah
M89,S5,openstack/wsme,002473c0eaff5bde539e6f6980c387d3817f7063,ipaddr,netaddr,wsme/types.py,258:254,,AddressValueError,AddressValueError,AddressValueError,AddrFormatError,AddrFormatError,AddrFormatError,exception,exception,exception,exception,exception,exception,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,sarah
M93,S8,czheo/syntax_sugar_python,1dbc1d44855acd57f280cca03878681e8dc26b03,multiprocessing,multiprocess,syntax_sugar/pipe.py,86:91,,Pool,Pool,Pool,ThreadPool,ThreadPool,ThreadPool,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,sarah
M95,S10,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv,unicodecsv,remedy/data_importer/data_importer.py,8:8,,csv,csv,csv,unicodecsv,unicodecsv,unicodecsv,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change,,,moha,sarah
M96,S11,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv,unicodecsv,remedy/data_importer/data_importer.py,19:27,,reader,reader,reader,reader,reader,reader,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M97,S12,radremedy/radremedy,8fa9b7fd7ce51c4b478ebb344d3c71ceb54b24bd,csv,unicodecsv,remedy/data_importer/data_importer.py,31:45,,DictReader,DictReader,DictReader,DictReader,DictReader,DictReader,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M98,S13,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,4:4,,csv,csv,csv,unicodecsv,unicodecsv,unicodecsv,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change,,,moha,sarah
M99,S14,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,73:73,,Sniffer,Sniffer,Sniffer,Sniffer,Sniffer,Sniffer,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M100,S15,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,75:75,,reader,reader,reader,reader,reader,reader,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M101,S16,ckan/ckanext-datapackager,a6a3fb3aaa48790365430740686de2019ff0076a,csv,unicodecsv,ckanext/datapackager/lib/helpers.py,79:79,,Error,Error,Error,Error,Error,Error,exception,exception,exception,exception,exception,exception,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M102,S17,fedora-infra/python-fedora,aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch,munch,fedora/client/__init_.py,33:33,,from bunch import Bunch,Bunch,,from munch import Munch,Munch,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,object name change;module name change,full statement replacement,,,,moha,sarah
M103,S18,fedora-infra/python-fedora,aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch,munch,fedora/client/__init_.py,111:111,,Bunch,Bunch,Bunch,Munch,Munch,Munch,class,class object,,class,class object,,one-to-one,one-to-one,one-to-one,element name change,no properties,,,,moha,sarah
M104,S19,fedora-infra/python-fedora,aca2a20a5c1a889eed655f36ef1bf28dd32c3145,bunch,munch,fedora/client/__init_.py,116:116,,Bunch,__init__,,Munch,__init__,,class,function call,,class,function call,,one-to-one,one-to-one,one-to-one,element name change,no properties,,,,moha,sarah
