id 1,id 2,repo,commit,source,target,file path,lines,R1 source APIs,R2 source APIs,agreed source API,R1 target APIs,R2 target APIs,agreed target APIs,R1 program element,R2 program element,agreed program element,R1 cardinality,R2 cardinality,agreed cardinality,R1 properties,R2 properties,agreed properties
M33,A12,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,45:47,IPNetwork,IPNetwork,IPNetwork,ipaddress.ip_interface,ip_interface,,function call,constructor/function call,,one-to-one,one-to-one,one-to-one,function name change,argument transformation,
M34,A13,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,46:48,IPNetwork,IPNetwork,IPNetwork,network;ipaddress.ip_interface,ip_interface,,attribute access; function call: function call,constructor/function call,,one-to-many,one-to-one,,,argument transformation,
M35,A19,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,24:23,netaddr,netaddr,netaddr,ipaddress,ipaddress,ipaddress,import,import,import,one-to-one,one-to-one,one-to-one,module name change,full statement replacement,
M37,A21,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,56:56,,IPAddress,,,ip_address,,,constructor/function call,,,one-to-one,,,argument transformation,
M38,A23,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/plugin.py,16:16,openstackclient.common,openstackclient.common,openstackclient.common,osc_lib,osc_lib,osc_lib,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M39,A24,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/facet.py,20:20,openstackclient.common,openstackclient.common,openstackclient.common,osc_lib,osc_lib,osc_lib,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M40,A25,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/resource_type.py,19:19,openstackclient.common,openstackclient.common,openstackclient.common,osc_lib,osc_lib,osc_lib,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M41,A26,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/search.py,21:21,openstackclient.common,openstackclient.common,openstackclient.common,osc_lib,osc_lib,osc_lib,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M17,S14,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,1:2,progressbar,progressbar,progressbar,tqdm,tqdm,tqdm,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement
M20,S17,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,:248,,,,close,ProgessBar.close,,function call,function call,function call,,addition,,,,
M27,S22,pypeit/pypeit,ba5e21ad19520001e4d4e8441910a43be9496115,pyside2,qtpy,pypeit/scripts/show_1dspec.py,31:31,PySide2.QtWidgets,pyside2,,qtpy.QtWidgets,qtpy,,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M50,I1,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/data.py,3:3,pytorch_pretrained_bert.tokenization,pytorch-pretrained-bert,,pytorch_transformers,pytorch-transformers,,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M54,I2,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/lm-data.py,5:5,pytorch_pretrained_bert.tokenization,pytorch_pretrained_bert.tokenization,pytorch_pretrained_bert.tokenization,pytorch_transformers,pytorch_transformers.BertTokenizer,,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M55,I3,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/modeling.py,1:1,pytorch_pretrained_bert.modeling,pytorch_pretrained_bert.modeling,pytorch_pretrained_bert.modeling,pytorch_transformers,pytorch_transformers,pytorch_transformers,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M56,I4,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/prediction.py,3:3,pytorch_pretrained_bert.tokenization,pytorch_pretrained_bert.tokenization,pytorch_pretrained_bert.tokenization,pytorch_transformers,pytorch_transformers.BertTokenizer,,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M61,I9,allenai/abductive-commonsense-reasoning,abfeffc58f4d5ccfccbadedcb70dea6fab981f82,pytorch-transformers,transformers,anlg/tokenizers.py,2:2,pytorch_transformers,pytorch-transformers,,transformers,transformers,transformers,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M62,I10,jsybrandt/agatha,b570ef0eed11a0d55f1e00d0291fccad62f06222,pytorch-transformers,transformers,pymoliere/construct/embedding_util.py,10:10,pytorch_transformers,pytorch-transformers,,transformers,transformers,transformers,import,import,import,one-to-one,many-to-many,,module name change,module name change,module name change
M42,A27,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/analytics/tasks/licenses.py,3:2,from raven.contrib.django.raven_compat.models import client,raven.contrib.django.raven_compat.models,,import sentry_sdk,sentry_sdk,,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement
M44,A28,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/auditing/runner.py,8:4,from raven.contrib.django.raven_compat.models import client,raven.contrib.django.raven_compat.models,,import sentry_sdk,sentry_sdk,,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement
M45,A29,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/auditing/runner.py,142:142-144,client.captureException,captureException,,fingerprint;sentry_sdk.capture_exception;sentry_sdk.push_scope,"capture_exception, push_scope",,attribute access; function call:function call,function call,,one-to-many,one-to-many,one-to-many,,,
M46,A30,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,:13,,,,import sentry_sdk,sentry_sdk,,import,import,import,,,,,full statement replacement,
M64,A31,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,:14,,,,from sentry_sdk.integrations.django import DjangoIntegration,sentry_sdk.integrations.django,,import,import,import,,,,,full statement replacement,
M47,A32,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,:231-233,init;DjangoIntegration,,,,init,,function call,function call,function call,,,,,,
M48,A35,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/utils.py,4:,raven,raven,raven,,,,import,import,import,,,,full statement replacement,full statement replacement,full statement replacement
M49,A36,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/utils.py,11:,raven.fetch_git_sha,fetch_git_sha,,,,,function call,function call,function call,,,,,,
M21,S18,openstack/ironic-inspector,f4648facf76ff2ac742fc11bb81880f262e61ee2,retrying,tenacity,ironic_inspector/common/ironic.py,21:21,retrying,retrying,retrying,tenacity,tenacity,tenacity,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M22,S19,openstack/ironic-inspector,f4648facf76ff2ac742fc11bb81880f262e61ee2,retrying,tenacity,ironic_inspector/common/ironic.py,190-192:190-194,retrying.retry,retrying.retry,retrying.retry,tenacity.retry,tenacity.retry,tenacity.retry,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,argument addition;argument name change;argument transformation,argument addition;argument name change;argument transformation,argument addition;argument name change;argument transformation
M2,,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,-,,,,,,,,,,,,,,,
M15,,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,136;138;155;157,acquire,,,,,,function call,,,,,,,,
M16,,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,142:192,gevent.sleep,,,eventlet.sleep,,,function call,,,one-to-one,,,function name change,,
M25,,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,1300:,close,,,,,,function call,,,,,,,,
M26,,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,1301:,join,,,,,,function call,,,,,,,,
M30,,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,308:307;410:409;420:419,IPNetwork,,,ip_network,,,object,,,one-to-one,,,,,
M31,,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,311:310;314:313;410:409;419:418,IPAddress,,,ip_address,,,object,,,one-to-one,,,,,
M36,,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,51:52,netaddr.IPNetwork,,,ipaddress.ip_interface;network,,,attribute access; function call: function call,,,one-to-many,,,,,
M18,,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,63:64;284:288,progressbar.ProgressBar,,,tqdm,,,function call,,,one-to-one,,,argument name change;function name change,,
M19,,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,73:72;294:296,update,,,update,,,function call,,,one-to-one,,,argument transformation,,
M51,,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,5-6:5-6,"from pytorch_pretrained_bert.optimization import BertAdam, ConstantLR, WarmupCosineSchedule, WarmupConstantSchedule, WarmupLinearSchedule, WarmupCosineWithWarmupRestartsSchedule, WarmupCosineWithHardRestartsSchedule
from pytorch_pretrained_bert.modeling import BertForSequenceClassification, BertLayerNorm",,,,,,import,,,many-to-many,,,full statement replacement,,
M52,,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,27:29;28:30,ConstantLR,,,ConstantLRSchedule,,,object,,,one-to-one,,,object name change,,
M53,,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,32:,WarmupCosineWithWarmupRestartsSchedule,,,,,,object,,,,,,,,
M57,,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/score.py,6:10,"from pytorch_pretrained_bert import BertTokenizer, BertModel, BertForMaskedLM",,,"from transformers import AutoModel, AutoTokenizer",,,import,,,many-to-many,,,full statement replacement,,
M58,,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/score.py,33:72;85:134,BertTokenizer.from_pretrained,,,AutoTokenizer.from_pretrained,,,function call,,,one-to-one,,,;function name change,,
M59,,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,nocodechange,,,,,,,,,,,,,,,
M60,,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,cli/score.py,nocodechange,,,,,,,,,,,,,,,
M43,,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/analytics/tasks/licenses.py,35:35,client.captureException,,,sentry_sdk.capture_exception,,,function call,,,one-to-one,,,function name change,,
,A14,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,:48,,,,,network,,,attribute,,,zero-to-one,,,,
,A15,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,"58-59:60-62,129-131",,IPNetwork,,,ip_interface,,,decorator,,,one-to-one,,,decorator name change,
,A16,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,59:131,,netmask,,,"network, netmask",,,attribute,,,one-to-many,,,,
,A17,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,"66-67:69,129-131",,IPNetwork,,,ip_interface,,,decorator,,,one-to-one,,,decorator name change,
,A18,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,67:131,,netmask,,,"network, netmask",,,attribute,,,one-to-many,,,,
,A20,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,51-52:52,,IPNetwork,,,ip_interface,,,constructor/function call,,,one-to-one,,,argument transformation,
,A22,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,56:,,value,,,,,,attribute,,,one-to-zero,,,,
,A33,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,120:,,raven.contrib.django.raven_compat,,,,,,list element,,,,,,,
,A34,kiwicom/the-zoo,e22070c01d0beee9622d9dc393530ce1a6f254e5,raven,sentry-sdk,zoo/base/settings.py,135:,,raven.contrib.django.raven_compat.middleware.SentryResponseErrorIdMiddleware,,,,,,list element,,,,,,,
,A4,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,65:64,,AddrFormatError,,,,,,exception clause,,,one-to-one,,,argument deletion,
,A5,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,308:307,,IPNetwork,,,ip_network,,,function argument,,,one-to-one,,,,
,A5,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,410:409,,"IPAddress, IPNetwork",,,"ip_address, ip_network",,,function argument,,,one-to-one,,,,
,A5,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,420:419,,IPNetwork,,,ip_network,,,function argument,,,one-to-one,,,,
,A6,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,311:310,,IPAddress,,,ip_address,,,function argument,,,one-to-one,,,,
,A6,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,314:313,,IPAddress,,,ip_address,,,function argument,,,one-to-one,,,,
,A6,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,419:418,,IPAddress,,,ip_address,,,function argument,,,one-to-one,,,,
,S2,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,"1-10,71:60-64,79-81,69",,docopt.docopt;docstring?,,,ArgumentParser.add_argument;ArgumentParser.add_mutually_exclusive_group;ArgumentParser.parse_args;argparse.ArgumentParser,,,function call:function call,,,one-to-many,,,argument addition;argument deletion;function name change,
,S3,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,"72:65-72,82",,,,,,,,,,,,,,,
,S4,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,,,,,,,,,,,,,,,
,S15,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,63:64,,ProgressBar,,,tqdm,,,function call,,,one-to-one,,,argument name change;function name change,
,S16,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,73:72,,ProgressBar.update,,,tqdm.update,,,function call,,,one-to-one,,,,
,I11,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,,,,,,,,,,,,,,,,
,I12,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/score.py,,,,,,,,,,,,,,,,
,I5,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,:9,,pytorch-pretrained-bert,,,transformers,,,import,,,zero-to-one,,,adding new imports,
,I6,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,9:15,,pytorch-pretrained-bert,,,transformers,,,attribute access,,,one-to-one,,,attribute value change,
,I7,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,11-19:17-20,,pytorch-pretrained-bert,,,transformers,,,attribute access,,,one-to-many,,,"attribute name change, attribute value transformation",
,I8,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,cli/score.py,7:,,pytorch-pretrained-bert,,,,,,import,,,one-to-zero,,,removing import,
