id 1,id 2,repo,commit,source,target,file path,lines,flag,R1 source APIs,R2 source APIs,agreed source API,R1 target APIs,R2 target APIs,agreed target APIs,R1 source program elements,R2 source program elements,agreed source program elements,R1 target program elements,R2 target program elements,agreed target program elements,R1 cardinality,R2 cardinality,agreed cardinality,R1 properties,R2 properties,agreed properties,R1 comments,R2 comments,R1,R2
M96,S31,pimoroni/inky,cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi,smbus2,library/inky/inky.py,16:16,,import smbus,smbus,,from smbus2 import SMBus,SMBus,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M1,-,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,3:4,,import bcrypt,,,from passlib.hash import bcrypt,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M2,-,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,26-27:26,unsure,,,,,,,,,,,,,,,,,,,replaces algorithm with function,,moha,
M3,-,twiliodeved/sms2fa-flask,22eedfcd1ef701a4283505762660146b57b26304,bcrypt,passlib,sms2fa_flask/models.py,30-31:29,,gensalt;hashpw,,,encrypt,,,function call,,,function call,,,many-to-one,,,argument deletion;argument transformation,,,"the transformation is ""undone""",,moha,
M4,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,7:6,,"from bottle import Bottle, request, abort",,,"from flask import Flask, request, abort, jsonify",,,import,,,import,,,many-to-many,,,no properties,,,,,moha,
M5,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,68:67,,Bottle,,,Flask,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,,,moha,
M6,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,69:68,,post,,,route,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,,,moha,
M7,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,84:83,,read,,,get_data,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M8,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,88:89,,get,,,get,,,function call,,,function call,,,one-to-one,,,no properties,,,,,moha,
M9,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,97:98,,get,,,get,,,function call,,,function call,,,one-to-one,,,no properties,,,,,moha,
M10,-,cqmoe/python-cqhttp,f9f083ec6b1de67e4e128e2fdc85cb7bacadcf6b,bottle,flask,cqhttp/__init__.py,111:112-113,unsure,,,,,,,,,,,,,,,,,,,,,moha,
M13,-,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,:11,not MR,,,,,,,,,,,,,,,,,,,,,moha,
M14,-,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,14:,not MR,,,,,,,,,,,,,,,,,,,,,moha,
M15,-,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,16:,not MR,,,,,,,,,,,,,,,,,,,,,moha,
M18,-,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,27:27,,import bottle,,,import flask,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M19,-,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,47:47,,Bottle,,,Flask,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,,,moha,
M20,-,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,93:93,,static_file,,,send_from_directory,,,function call,,,function call,,,one-to-one,,,argument name deletion;argument order change;element name change,,,new property,,moha,
M21,-,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,94:94,,HTTPError,,,abort,,,function call,,,function call,,,one-to-one,,,element name change,,,"there is an argument deletion, however, probably not migration related",,moha,
M22,-,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,98:98,,route,,,add_url_rule,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,the argument addition may not be migration related,,moha,
M23,-,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,99:99,,route,,,add_url_rule,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,the argument addition may not be migration related,,moha,
M26,-,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser,configobj,mycli/config.py,6:3,,from configparser import ConfigParser,,,from configobj import ConfigObj,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M27,-,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser,configobj,mycli/config.py,"10,14,18:6-8",tangled,,,,,,,,,,,,,,,,,,,,,moha,
M30,-,heroku/salesforce-bulk,2f787fa0535957c3f7f864f3108bd1c2bc8a1271,csv,unicodecsv,salesforce_bulk/csv_adapter.py,1:1,,import csv,,,import unicodecsv as csv,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M31,-,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,2:11,,import csv,,,import unicodecsv,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M32,-,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,67:67,,writer,,,writer,,,function call,,,function call,,,one-to-one,,,no properties,,,,,moha,
M33,-,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,78:78,,writer,,,writer,,,function call,,,function call,,,one-to-one,,,no properties,,,,,moha,
M34,-,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,89:89,,writer,,,writer,,,function call,,,function call,,,one-to-one,,,no properties,,,,,moha,
M35,-,mlsecproject/combine,efe20ac0e2cb0717b35ee60ca60ff146c3ddb01a,csv,unicodecsv,baler.py,100:100,,writer,,,writer,,,function call,,,function call,,,one-to-one,,,no properties,,,,,moha,
M36,-,blaze/distributed,6dc1f3f202fbef0e530b7e89c300e4f4d59dbc30,dill,cloudpickle,distributed/core.py,10-11:11,,"from dill import loads, dumps;import dill",,,import pickle,,,import,,,import,,,many-to-one,,,no properties,,,,,moha,
M41,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,8:8,,import ed25519,,,import nacl.signing,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M42,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,91:91-92,,VerifyingKey,,,VerifyKey,,,function call,,,function call,,,one-to-one,,,argument addition;argument transformation;element name change,,,,,moha,
M43,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,92:93,,verify,,,verify,,,function call,,,function call,,,one-to-one,,,argument order change,,,new property,,moha,
M44,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,104:106,,VerifyingKey,,,VerifyKey,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,,,moha,
M45,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,164:166,,VerifyingKey,,,VerifyKey,,,type,,,type,,,one-to-one,,,element name change,,,,,moha,
M46,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,165:167,,to_bytes,,,encode,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,,,moha,
M47,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/gpg/decode.py,10:10,,import ed25519,,,import nacl.signing,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M48,-,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/gpg/decode.py,70:70,,VerifyingKey,,,VerifyKey,,,function call,,,function call,,,one-to-one,,,argument addition;element name change,,,,,moha,
M49,-,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,13:13,,import leveldb,,,import plyvel,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M50,-,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,18:18,,LevelDB,,,DB,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M51,-,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,25:27,,Put,,,put,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M52,-,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,29:30,,Get,,,get,,,function call,,,function call,,,one-to-one,,,argument name change;element name change,,,,,moha,
M53,-,ethereum/py-evm,5c273fff1ed8f4815b7232a442061673c00f1c60,leveldb,plyvel,evm/db/backends/level.py,32:33,,Delete,,,delete,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M58,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/cpuload.py,27:23,,from logger import Logger,,,import logging,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M59,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/cpuload.py,60:,,Logger,,,,,,function call,,,no program element,,,one-to-zero,,,no properties,,,,,moha,
M60,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/cpuload.py,65-66:61-62,,log_custom,,,error,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M61,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/diskspace.py,28:24,,from logger import Logger,,,import logging,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M62,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/diskspace.py,61:,,Logger,,,,,,function call,,,no program element,,,one-to-zero,,,no properties,,,,,moha,
M63,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/diskspace.py,66-67:62-63,,log_custom,,,error,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M64,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/memory.py,27:23,,from logger import Logger,,,from logger import Logger,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M65,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/memory.py,60:,,Logger,,,,,,function call,,,no program element,,,one-to-zero,,,no properties,,,,,moha,
M66,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/memory.py,65-66:61-62,,log_custom,,,error,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M67,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/ping.py,28:24,,from logger import Logger,,,from logger import Logger,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M68,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/ping.py,143:,,Logger,,,,,,function call,,,no program element,,,one-to-zero,,,no properties,,,,,moha,
M69,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/ping.py,148-149:144-145,,log_custom,,,error,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M70,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,27:24,,from logger import Logger,,,from logger import Logger,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M71,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,29:,,Logger,,,,,,function call,,,no program element,,,one-to-zero,,,no properties,,,,,moha,
M72,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,33:29,,log_custom,,,error,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M73,-,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,179-181:175-177,,log_custom,,,error,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M74,-,kevoreilly/capev4,abf58a7deb32893febb4151f579d8428ffca3b8e,m2crypto,cryptography,modules/processing/static.py,775:779,unsure,,,,,,,,,,,,,,,,,,,repository unavailable,,moha,
M75,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,30:35-39,,from M2Crypto import X509,,,from cryptography import x509;from cryptography.exceptions import InvalidSignature;from cryptography.hazmat.backends import default_backend;from cryptography.hazmat.primitives.asymmetric import padding;from cryptography.x509.oid import NameOID,,,import,,,import,,,one-to-many,,,no properties,,,,,moha,
M76,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,65:69,,load_cert_der_string,,,load_pem_x509_certificate,,,function call,,,function call,,,one-to-one,,,argument addition;argument transformation;element name change,,,,,moha,
M77,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,66:70,,get_subject,,,subject,,,function call,,,attribute access,,,one-to-one,,,element name change,,,,,moha,
M78,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,66:70,,as_text,,,get_attributes_for_oid;value,,,function call,,,attribute access;function call,,,one-to-many,,,argument addition,,,,,moha,
M79,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,73:94,,get_issuer,,,issuer,,,function call,,,attribute access,,,one-to-one,,,element name change,,,,,moha,
M80,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,73:94,,as_text,,,get_attributes_for_oid;value,,,function call,,,attribute access;function call,,,one-to-many,,,argument addition,,,,,moha,
M81,-,yubico/python-u2flib-server,65c46657d50fb2d38036b4533806d36997cedac5,m2crypto,cryptography,u2flib_server/attestation/resolvers.py,74:97,,get_pubkey,,,public_key,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M85,-,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,74:71,,exec_command,,,run,,,function call,,,function call,,,one-to-one,,,argument addition;argument name change;element name change,,,,,moha,
M88,-,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,2:2,,import pyquery,,,from bs4 import BeautifulSoup,,,import,,,import,,,one-to-one,,,no properties,,,,,moha,
M89,-,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,17:18-19,unsure,,,,,,,,,,,,,,,,,,,"it looks like pyquery is replaced by two libraries, requests and BeautifulSoup",,moha,
M90,-,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,18:20,,dom,,,dom,,,function call,,,function call,,,one-to-one,,,argument addition;argument transformation;element name change,,,,,moha,
M91,-,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,33:35-36,unsure,,,,,,,,,,,,,,,,,,,"it looks like pyquery is replaced by two libraries, requests and BeautifulSoup",,moha,
M92,-,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,34:37,,dom,,,find_all,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
M93,-,idan/telostats,f73354ab6a11c665921a25d9bdfdbd74a33b55fb,pyquery,beautifulsoup4,telostats/stations/tasks.py,34:37,,text_content,,,get_text,,,function call,,,function call,,,one-to-one,,,element name change,,,,,moha,
-,S3,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,:11,,,root_path,,,,,,no program element,,,attribute access,,,zero-to-one,,,no properties,,,,,sarah
-,S4,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,14:,,,route,,,,,,decorator,,,no program element,,,one-to-zero,,,no properties,,,I suspected that line 11 in source is related to lines 14-16 in target for setting the path but then the function static_file is not really used anywhere so left things as is for the code changes,,sarah
-,S5,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,16:,unsure,,,,,,,,,,,,,,,,,,,,"I'm still not sure about these lines tbh. if the function is not being used anywhere, is its removal really part of the migration or just cleanup? So should this row be in the code changeS?",,sarah
-,S10,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser,configobj,ctalearn/scripts/run_model.py,":436,443",,,,,,Validator;validate,,,no program element,,,function call,,,zero-to-many,,,,,,"basically, this new lib alllows validating the config options according to a spec so these new lines include this validation process (there is no corresponding lines in the source lib client code)",,sarah
-,S23,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,51:,,,open_sftp,,,,,,function call,,,no program element,,,one-to-zero,,,,,,this call belongs to the source lib and has no match in target so gets removed,,sarah
-,S25,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,74-79:71-73,,,RemoteCommandResult;exec_command,,,run;stdin;stdout,,,function call,,,attribute access;function call,,,one-to-one,,,argument addition;argument trasnformation;element name change,,,You didn't indicate change lines here but i believe the lines need to be changed,,sarah
-,S26,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,80:74,,,return_code,,,failed,,,attribute access,,,attribute access,,,one-to-one,,,no properties,,,,,sarah
